language,text
Kiswahili,Anapika wali.
Kiswahili,Anaosha vyombo.
Kiswahili,Tunasoma kitabu.
Kiswahili,Tunakula chakula.
Kiswahili,Tunakunywa maji.
Kiswahili,Tunaandika barua.
Kiswahili,Tunacheza mpira.
Kiswahili,Tunaimba wimbo.
Kiswahili,Tunatembea njiani.
Kiswahili,Tunakimbia mbio.
Kiswahili,Tunapika wali.
Kiswahili,Tunaosha vyombo.
Kiswahili,Wanasoma kitabu.
Kiswahili,Wanakula chakula.
Kiswahili,Wanakunywa maji.
Kiswahili,Wanaandika barua.
Kiswahili,Wanacheza mpira.
Kiswahili,Wanaimba wimbo.
Kiswahili,Wanatembea njiani.
Kiswahili,Wanakimbia mbio.
Kiswahili,Wanapika wali.
Kiswahili,Wanaosha vyombo.
Kiswahili,Ninasoma kitabu.
Kiswahili,Ninakula chakula.
Kiswahili,Ninakunywa maji.
Kiswahili,Ninaandika barua.
Kiswahili,Ninacheza mpira.
Kiswahili,Ninaimba wimbo.
Kiswahili,Ninatembea njiani.
Kiswahili,Ninakimbia mbio.
Kiswahili,Ninapika wali.
Kiswahili,Ninaosha vyombo.
Kiswahili,Anasoma kitabu.
Kiswahili,Anakula chakula.
Kiswahili,Anakunywa maji.
Kiswahili,Anaandika barua.
Kiswahili,Anacheza mpira.
Kiswahili,Anaimba wimbo.
Kiswahili,Anatembea njiani.
Kiswahili,Anakimbia mbio.
Kiswahili,Anapika wali.
Kiswahili,Anaosha vyombo.
Kiswahili,Tunasoma kitabu.
Kiswahili,Tunakula chakula.
Kiswahili,Tunakunywa maji.
Kiswahili,Tunaandika barua.
Kiswahili,Tunacheza mpira.
Kiswahili,Tunaimba wimbo.
Kiswahili,Tunatembea njiani.
Kiswahili,Tunakimbia mbio.
Kiswahili,Tunapika wali.
Kiswahili,Tunaosha vyombo.
Kiswahili,Wanasoma kitabu.
Kiswahili,Wanakula chakula.
Kiswahili,Wanakunywa maji.
Kiswahili,Wanaandika barua.
Kiswahili,Wanacheza mpira.
Kiswahili,Wanaimba wimbo.
Kiswahili,Wanatembea njiani.
Kiswahili,Wanakimbia mbio.
Kiswahili,Wanapika wali.
Kiswahili,Wanaosha vyombo.
Kiswahili,Ninasoma kitabu.
Kiswahili,Ninakula chakula.
Kiswahili,Ninakunywa maji.
Kiswahili,Ninaandika barua.
Kiswahili,Ninacheza mpira.
Kiswahili,Ninaimba wimbo.
Kiswahili,Ninatembea njiani.
Kiswahili,Ninakimbia mbio.
Kiswahili,Ninapika wali.
Kiswahili,Ninaosha vyombo.
Kiswahili,Anasoma kitabu.
Kiswahili,Anakula chakula.
Kiswahili,Anakunywa maji.
Kiswahili,Anaandika barua.
Kiswahili,Anacheza mpira.
Kiswahili,Anaimba wimbo.
Kiswahili,Anatembea njiani.
Kiswahili,Anakimbia mbio.
Kiswahili,Anapika wali.
Kiswahili,Anaosha vyombo.
Kiswahili,Tunasoma kitabu.
Kiswahili,Tunakula chakula.
Kiswahili,Tunakunywa maji.
Kiswahili,Tunaandika barua.
Kiswahili,Tunacheza mpira.
Kiswahili,Tunaimba wimbo.
Kiswahili,Tunatembea njiani.
Kiswahili,Tunakimbia mbio.
Kiswahili,Tunapika wali.
Kiswahili,Tunaosha vyombo.
Kiswahili,Wanasoma kitabu.
Kiswahili,Wanakula chakula.
Kiswahili,Wanakunywa maji.
Kiswahili,Wanaandika barua.
Kiswahili,Wanacheza mpira.
Kiswahili,Wanaimba wimbo.
Kiswahili,Wanatembea njiani.
Kiswahili,Wanakimbia mbio.
Kiswahili,Wanapika wali.
Kiswahili,Wanaosha vyombo.
Kiswahili,Ninasoma kitabu.
Kiswahili,Ninakula chakula.
Kiswahili,Ninakunywa maji.
Kiswahili,Ninaandika barua.
Kiswahili,Ninacheza mpira.
Kiswahili,Ninaimba wimbo.
Kiswahili,Ninatembea njiani.
Kiswahili,Ninakimbia mbio.
Kiswahili,Ninapika wali.
Kiswahili,Ninaosha vyombo.
Kiswahili,Anasoma kitabu.
Kiswahili,Anakula chakula.
Kiswahili,Anakunywa maji.
Kiswahili,Anaandika barua.
Kiswahili,Anacheza mpira.
Kiswahili,Anaimba wimbo.
Kiswahili,Anatembea njiani.
Kiswahili,Anakimbia mbio.
Kiswahili,Anapika wali.
Kiswahili,Anaosha vyombo.
Kiswahili,Tunasoma kitabu.
Kiswahili,Tunakula chakula.
Kiswahili,Tunakunywa maji.
Kiswahili,Tunaandika barua.
Kiswahili,Tunacheza mpira.
Kiswahili,Tunaimba wimbo.
Kiswahili,Tunatembea njiani.
Kiswahili,Tunakimbia mbio.
Kiswahili,Tunapika wali.
Kiswahili,Tunaosha vyombo.
Kiswahili,Wanasoma kitabu.
Kiswahili,Wanakula chakula.
Kiswahili,Wanakunywa maji.
Kiswahili,Wanaandika barua.
Kiswahili,Wanacheza mpira.
Kiswahili,Wanaimba wimbo.
Kiswahili,Wanatembea njiani.
Kiswahili,Wanakimbia mbio.
Kiswahili,Wanapika wali.
Kiswahili,Wanaosha vyombo.
Kiswahili,Ninasoma kitabu.
Kiswahili,Ninakula chakula.
Kiswahili,Ninakunywa maji.
Kiswahili,Ninaandika barua.
Kiswahili,Ninacheza mpira.
Kiswahili,Ninaimba wimbo.
Kiswahili,Ninatembea njiani.
Kiswahili,Ninakimbia mbio.
Kiswahili,Ninapika wali.
Kiswahili,Ninaosha vyombo.
Kiswahili,Anasoma kitabu.
Kiswahili,Anakula chakula.
Kiswahili,Anakunywa maji.
Kiswahili,Anaandika barua.
Kiswahili,Anacheza mpira.
Kiswahili,Anaimba wimbo.
Kiswahili,Anatembea njiani.
Kiswahili,Anakimbia mbio.
Kiswahili,Anapika wali.
Kiswahili,Anaosha vyombo.
Kiswahili,Tunasoma kitabu.
Kiswahili,Tunakula chakula.
Kiswahili,Tunakunywa maji.
Kiswahili,Tunaandika barua.
Kiswahili,Tunacheza mpira.
Kiswahili,Tunaimba wimbo.
Kiswahili,Tunatembea njiani.
Kiswahili,Tunakimbia mbio.
Kiswahili,Tunaosha vyombo
Kiswahili,Tunaosha vyombo.
Kiswahili,Wanasoma kitabu.
Kiswahili,Wanakula chakula.
Kiswahili,Wanakunywa maji.
Kiswahili,Wanaandika barua.
Kiswahili,Wanacheza mpira.
Kiswahili,Wanaimba wimbo.
Kiswahili,Wanatembea njiani.
Kiswahili,Wanakimbia mbio.
Kiswahili,Wanapika wali.
Kiswahili,Wanaosha vyombo.
English,The dog play football quickly.
English,You take a book quietly.
English,You find football quickly.
English,I find a house badly.
English,The dog write a letter quietly.
English,She see television carefully.
English,He make a movie carefully.
English,The dog make a plan quietly.
English,You take a house quickly.
English,We like television carefully.
English,They see a movie slowly.
English,We take a book slowly.
English,The dog see football sadly.
English,My friend write a letter sadly.
English,My friend find a solution easily.
English,I play a book carefully.
English,The dog find a book slowly.
English,They eat a solution slowly.
English,He see the food easily.
English,The dog play a book slowly.
English,They play a movie easily.
English,The teacher see a break carefully.
English,My friend like television sadly.
English,I play a house quietly.
English,You build a solution badly.
English,You eat television carefully.
English,He eat a house slowly.
English,My friend see a solution badly.
English,The dog take a letter slowly.
English,I play a break quietly.
English,The teacher make a movie badly.
English,He make television carefully.
English,My friend eat football easily.
English,I see a house quietly.
English,They take television easily.
English,We see a break easily.
English,He eat a solution loudly.
English,My friend play television gracefully.
English,You find a plan loudly.
English,You find a plan happily.
English,We watch a house slowly.
English,The teacher eat a plan sadly.
English,You find football quietly.
English,The dog see a letter quietly.
English,They play the food carefully.
English,The teacher take the food quickly.
English,They make football easily.
English,You watch a plan carefully.
English,She find a book slowly.
English,I play a solution carefully.
English,She eat football quietly.
English,The student find football happily.
English,He take football quickly.
English,He build football quickly.
English,You build the food loudly.
English,We play the food slowly.
English,We watch television quickly.
English,She write a solution easily.
English,He write a house quickly.
English,The teacher watch the food badly.
English,The teacher find television quietly.
English,The dog take a movie slowly.
English,My friend write a letter easily.
English,The student build television loudly.
English,I take a plan slowly.
English,My friend eat television badly.
English,He play a book happily.
English,The student eat television easily.
English,They make television happily.
English,She make a movie slowly.
English,We eat a plan sadly.
English,She write a book quietly.
English,The teacher like a house loudly.
English,I find a break quickly.
English,She see a movie sadly.
English,You eat the food badly.
English,She eat football badly.
English,She play football easily.
English,She build a movie carefully.
English,My friend take football quietly.
English,We see a break slowly.
English,She take a plan happily.
English,He watch a house badly.
English,She write a plan slowly.
English,The dog build the food happily.
English,My friend find a house loudly.
English,I play a plan loudly.
English,He take a solution quietly.
English,We write a solution quietly.
English,My friend take a break badly.
English,I build a plan badly.
English,He build a solution gracefully.
English,They make a solution gracefully.
English,My friend write football easily.
English,They see a letter loudly.
English,She watch a break quickly.
English,You find the food slowly.
English,They make television happily.
English,The dog see a plan gracefully.
English,He find a plan quickly.
English,The student write a movie quietly.
English,I take a movie slowly.
English,The student take a solution quietly.
English,They play a house carefully.
English,You take a plan sadly.
English,The student play a break quickly.
English,The student eat a book happily.
English,He watch a movie quietly.
English,I see the food sadly.
English,He play a break happily.
English,The student see the food carefully.
English,My friend watch a plan sadly.
English,My friend watch a book gracefully.
English,She like a movie quietly.
English,She play football loudly.
English,The teacher play football carefully.
English,The teacher play a solution gracefully.
English,We build a book happily.
English,The teacher eat a solution badly.
English,The student take a break quickly.
English,The dog take a letter happily.
English,The dog like football quickly.
English,The teacher take a plan sadly.
English,He play a solution happily.
English,They build the food happily.
English,You write a book slowly.
English,My friend like football sadly.
English,You find a letter loudly.
English,He play television carefully.
English,We take a book happily.
English,The dog see a letter easily.
English,I watch a break happily.
English,We watch a solution happily.
English,The student make a plan easily.
English,I write the food quickly.
English,The teacher see a solution slowly.
English,I see a book loudly.
English,They build a break quietly.
English,I see television badly.
English,My friend watch football badly.
English,The dog like a book quickly.
English,The student write a solution sadly.
English,He take a solution easily.
English,They make a solution quietly.
English,He build a letter badly.
English,The student watch the food quietly.
English,He play a plan quickly.
English,They see the food quickly.
English,We find a house badly.
English,We play a movie happily.
English,They play football carefully.
English,The teacher watch a book carefully.
English,The dog build a book happily.
English,They make television badly.
English,She watch a house easily.
English,I make a book sadly.
English,She play a book quickly.
English,They eat football carefully.
English,You eat a letter gracefully.
English,She watch a solution loudly.
English,We eat a letter carefully.
English,My friend build a plan quickly.
English,The student eat a letter happily.
English,They write a break happily.
English,He make a book happily.
English,He watch a solution sadly.
English,The teacher build a letter sadly.
English,The student find a house quickly.
English,She watch television easily.
English,The student see football quickly.
English,The dog eat a solution badly.
English,They build a letter happily.
English,They play a letter carefully.
English,He find football loudly.
English,She watch a movie carefully.
English,He make a solution slowly.
English,He find a book slowly.
English,She see a letter sadly.
English,I like the food badly.
English,You build a movie loudly.
English,They build a letter quickly.
English,The teacher like football quickly.
English,We like a house loudly.
English,The teacher take a house badly.
English,He like a house sadly.
English,I play a book quickly.
English,The teacher make a letter quickly.
English,We eat football gracefully.
English,You play a break loudly.
English,We take a movie easily.
English,We build football gracefully.
English,The dog see television sadly.
English,The dog find a movie quickly.
English,The teacher build a solution loudly.
English,You take a movie sadly.
English,My friend watch a plan easily.
English,I watch television happily.
English,You take a house slowly.
English,You write a letter sadly.
English,He write a plan easily.
English,The dog build football quietly.
English,The dog make football badly.
English,They eat a letter quickly.
English,I find television slowly.
English,The student see a book quickly.
English,The student write a house quickly.
English,The dog write television gracefully.
English,My friend like a letter quietly.
English,We take a plan loudly.
English,The student build a plan happily.
English,I take the food slowly.
English,My friend watch the food quickly.
English,The dog find television sadly.
English,He play a house quickly.
English,The dog see a break happily.
English,The teacher find a house loudly.
English,You make a break slowly.
English,My friend play football loudly.
English,The dog watch the food carefully.
English,She play a letter slowly.
English,We watch a solution sadly.
English,He make television quickly.
English,She take a house slowly.
English,They make a movie sadly.
English,The teacher eat the food quickly.
English,She build a plan quickly.
English,You eat a break loudly.
English,They eat television quickly.
English,The teacher see a book sadly.
English,I take a book carefully.
English,You watch a plan badly.
English,The student see a break badly.
English,My friend find football badly.
English,The dog play a solution quietly.
English,The student write a book quickly.
English,The dog see television quietly.
English,She see the food carefully.
English,The teacher build the food loudly.
English,The teacher find television badly.
English,The dog find a letter quietly.
English,The teacher build a book easily.
English,The dog find football quietly.
English,The teacher watch television quickly.
English,We find a house quickly.
English,You like a house slowly.
English,We like a letter slowly.
English,She play a letter happily.
English,He take football slowly.
English,The dog eat a house carefully.
English,You write the food slowly.
English,The teacher make television badly.
English,My friend watch television loudly.
English,They write a solution quickly.
English,She see a solution slowly.
English,You eat a house gracefully.
English,The dog build the food quietly.
English,The teacher like a solution slowly.
English,He write the food gracefully.
English,My friend take a house carefully.
English,We make a house carefully.
English,The dog watch a plan gracefully.
English,We find a house slowly.
English,We see a book carefully.
English,I watch football easily.
English,I make a book carefully.
English,He play a plan quietly.
English,The student see a break happily.
English,You find a plan badly.
English,We watch a house quietly.
English,The dog play a break loudly.
English,You find a solution sadly.
English,You find a movie quietly.
English,My friend play a letter easily.
English,He find a house happily.
English,The student see a break badly.
English,The student write television quietly.
English,They like a break easily.
English,You take a book sadly.
English,I like a house badly.
English,He like the food quickly.
English,She make a plan gracefully.
English,The dog watch a break quickly.
English,We play a movie happily.
English,The teacher see a solution quietly.
English,He play a house gracefully.
English,My friend like the food badly.
English,The teacher make a letter badly.
English,I find a solution loudly.
English,The dog make a book sadly.
English,The dog eat football happily.
English,They see television quickly.
English,The teacher eat a plan quietly.
English,My friend find a plan quietly.
English,We eat a book badly.
English,The student take a house easily.
English,They like a letter badly.
English,You play a plan quickly.
English,We see the food happily.
English,He take a break easily.
English,She take a movie slowly.
English,They see a book sadly.
English,The student make the food gracefully.
English,The teacher watch football happily.
English,You find a house slowly.
English,He see a house quickly.
English,You build a break carefully.
English,They see a plan slowly.
English,We find a house loudly.
English,We take a house badly.
English,He make a solution quickly.
English,The student take television easily.
English,I watch a house sadly.
English,He play television sadly.
English,They build a plan quietly.
English,The dog build a movie slowly.
English,You eat a movie gracefully.
English,The dog build the food quietly.
English,You see football gracefully.
English,The student eat television slowly.
English,You watch a book quickly.
English,The dog like football slowly.
English,The teacher find a movie carefully.
English,They see a solution loudly.
English,They build a house quickly.
English,The student write television quickly.
English,The teacher write a break quietly.
English,We write a break slowly.
English,I like the food badly.
English,You build a break gracefully.
English,I make a solution easily.
English,The dog build a solution easily.
English,She see a break easily.
English,They find television badly.
English,The dog find a house loudly.
English,You make a house carefully.
English,The dog play a letter slowly.
English,I eat a solution sadly.
English,They eat a house easily.
English,She build television slowly.
English,My friend find the food slowly.
English,The dog see a book happily.
English,My friend build television sadly.
English,The student take football slowly.
English,He like television sadly.
English,I watch television happily.
English,They like a movie slowly.
English,He eat a plan quietly.
English,My friend play a letter sadly.
English,She write a book slowly.
English,We play a letter slowly.
English,We write a movie carefully.
English,He take a solution badly.
English,You eat a letter quietly.
English,My friend watch television gracefully.
English,The dog watch television sadly.
English,He watch a movie easily.
English,We find television quietly.
English,We like a break sadly.
English,She eat a break carefully.
English,The teacher like a solution gracefully.
English,He build football easily.
English,My friend write a solution quietly.
English,You write television quickly.
English,I see a letter loudly.
English,We see a house loudly.
English,He watch a solution happily.
English,I find television quietly.
English,We find a letter quickly.
English,They take television loudly.
English,She eat a break sadly.
English,We see a solution carefully.
English,You play football loudly.
English,The student write the food loudly.
English,We build a solution badly.
English,The teacher watch the food badly.
English,She like a book easily.
English,I see a book badly.
English,I see football badly.
English,He build a break sadly.
English,He build the food quietly.
English,They eat the food easily.
English,I see a solution loudly.
English,We make a house easily.
English,We build the food happily.
English,We write a house gracefully.
English,He build the food gracefully.
English,You build football happily.
English,I build a movie easily.
English,The teacher build a house sadly.
English,He like a break happily.
English,The dog write the food badly.
English,We see the food quietly.
English,They see a plan happily.
English,My friend eat television easily.
English,The teacher find a break easily.
English,He see a movie happily.
English,You like football sadly.
English,You like a plan carefully.
English,The teacher eat a book easily.
English,The dog play a book sadly.
English,She build a letter slowly.
English,The teacher play a house carefully.
English,My friend like the food easily.
English,You make a letter slowly.
English,He write television slowly.
English,My friend make a solution easily.
English,You eat a letter carefully.
English,They write television happily.
English,She make a break quickly.
English,I make the food slowly.
English,He find the food quickly.
English,My friend write a book sadly.
English,The student like television badly.
English,I play television easily.
English,He build television sadly.
English,They take football loudly.
English,The teacher find a plan happily.
English,You watch television quietly.
English,The teacher watch the food happily.
English,He eat a break gracefully.
English,The student like television quietly.
English,They write a house carefully.
English,We play the food slowly.
English,We build a solution slowly.
English,The teacher play the food easily.
English,The teacher find television gracefully.
English,The teacher like the food happily.
English,You take a book happily.
English,My friend see football loudly.
English,The dog watch a break easily.
English,The student write a book quietly.
English,You write television easily.
English,You play a letter badly.
English,You see a movie gracefully.
English,The teacher like a book loudly.
English,You play a letter sadly.
English,You build a plan sadly.
English,I eat a house badly.
English,The student eat a break sadly.
English,She see football loudly.
English,The teacher see a solution carefully.
English,You take television slowly.
English,He eat television loudly.
English,The dog take the food quickly.
English,He play television slowly.
English,The dog watch a letter gracefully.
English,The dog eat a break easily.
English,I like a book badly.
English,We play a plan quickly.
English,She make a book easily.
English,She eat the food quickly.
English,My friend see a book sadly.
English,She write a letter sadly.
English,You watch a book sadly.
English,She take a solution happily.
English,The dog take a break slowly.
English,We write a house happily.
English,He like the food badly.
English,They find a house easily.
English,The dog eat a break badly.
English,He see a break quickly.
English,The student see football loudly.
English,She write a book loudly.
English,I take the food sadly.
English,You play football easily.
English,He see television slowly.
English,She play a letter happily.
English,I watch a book happily.
English,The teacher take a break happily.
English,The teacher find the food sadly.
English,She play a movie badly.
English,The teacher play a book gracefully.
English,He see a house slowly.
English,I eat the food happily.
English,You make a movie carefully.
English,I build a book easily.
English,You write a house carefully.
English,They play a movie gracefully.
English,The dog like television carefully.
English,We write a house slowly.
English,The teacher watch a house slowly.
English,They write the food happily.
English,The student take football happily.
English,She play a break badly.
English,We build a house badly.
English,You eat a movie carefully.
English,He build a break happily.
English,They watch a book gracefully.
English,He find a book sadly.
English,I play television gracefully.
English,You take television badly.
English,The student eat a break badly.
English,I find television happily.
English,We write a movie carefully.
English,I see a plan loudly.
English,We like a house easily.
English,The student find a plan sadly.
English,The teacher see football quickly.
English,I eat a letter loudly.
Luo,An chiemo chiemo oyot.
Luo,In ndiko buk mos.
Luo,Wan temo dala ahinya.
Luo,Gin wuotho puodho maber.
Luo,Nyathi bedo tich rach.
Luo,Wuod tiyo ot tek.
Luo,Dhako keto yie moromo.
Luo,Chuo yudo pesa chuth.
Luo,An chiemo chiemo oyot.
Luo,In ndiko buk mos.
Luo,Wan temo dala ahinya.
Luo,Gin wuotho puodho maber.
Luo,Nyathi bedo tich rach.
Luo,Wuod tiyo ot tek.
Luo,Dhako keto yie moromo.
Luo,Chuo yudo pesa chuth.
Luo,An chiemo chiemo oyot.
Luo,In ndiko buk mos.
Luo,Wan temo dala ahinya.
Luo,Gin wuotho puodho maber.
Luo,Nyathi bedo tich rach.
Luo,Wuod tiyo ot tek.
Luo,Dhako keto yie moromo.
Luo,Chuo yudo pesa chuth.
Luo,An chiemo chiemo oyot.
Luo,In ndiko buk mos.
Luo,Wan temo dala ahinya.
Luo,Gin wuotho puodho maber.
Luo,Nyathi bedo tich rach.
Luo,Wuod tiyo ot tek.
Luo,Dhako keto yie moromo.
Luo,Chuo yudo pesa chuth.
Luo,An chiemo chiemo oyot.
Luo,In ndiko buk mos.
Luo,Wan temo dala ahinya.
Luo,Gin wuotho puodho maber.
Luo,Nyathi bedo tich rach.
Luo,Wuod tiyo ot tek.
Luo,Dhako keto yie moromo.
Luo,Chuo yudo pesa chuth.
Luo,An chiemo chiemo oyot.
Luo,In ndiko buk mos.
Luo,Wan temo dala ahinya.
Luo,Gin wuotho puodho maber.
Luo,Nyathi bedo tich rach.
Luo,Wuod tiyo ot tek.
Luo,Dhako keto yie moromo.
Luo,Chuo yudo pesa chuth.
Luo,An chiemo chiemo oyot.
Luo,In ndiko buk mos.
